AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Manjunath Gowda,31,M,A1
2,2,Manjunath Gowda,36,M,A1
3,3,Manjunath Gowda,44,M,A1
4,4,Harish Raju,24,M,A1
5,5,Unknown,31,M,A1
6,6,Unknown,22,M,A1
7,7,Kiran Raju,42,M,A1
8,8,Unknown,25,M,A1
9,9,Unknown,44,M,A1
10,10,Unknown,20,M,A1
11,11,Suresh Naik,40,M,A1
12,12,Suresh Naik,32,M,A1
13,13,Unknown,40,M,A1
14,14,Vinay Nayak,29,M,A1
15,15,Kiran Hegde,20,M,A1
16,16,Unknown,20,M,A1
17,17,Mahesh Rao,20,M,A1
18,18,Ramesh Naik,36,M,A1
19,19,Unknown,24,M,A1
20,20,Unknown,43,M,A1
21,21,Vinay Raju,29,M,A1
22,22,Ravi Kumar,40,M,A1
23,23,Unknown,35,M,A1
24,24,Ravi Kumar,28,M,A1
25,25,Ravi Kumar,30,M,A1
26,26,Unknown,37,M,A1
27,27,Ravi Kumar,29,M,A1
28,28,Unknown,26,M,A1
29,29,Unknown,30,M,A1
30,30,Suresh Naik,35,M,A1
31,31,Suresh Naik,19,M,A1
32,32,Unknown,41,M,A1
33,33,Unknown,19,M,A1
34,34,Unknown,45,M,A1
35,35,Shivakumar Hegde,24,M,A1
36,36,Unknown,42,M,A1
37,37,Harish Kumar,27,M,A1
38,38,Unknown,45,M,A1
39,39,Imran Pasha,36,M,A1
40,40,Unknown,29,M,A1
41,41,Imran Pasha,25,M,A1
42,42,Unknown,30,M,A1
43,43,Nagaraj Murthy,37,M,A1
44,44,Prakash Hegde,38,M,A1
45,45,Unknown,30,M,A1
46,46,Unknown,45,M,A1
47,47,Unknown,44,M,A1
48,48,Shivakumar Naik,45,M,A1
49,49,Unknown,42,M,A1
50,50,Unknown,45,M,A1
51,51,Ravi Kumar,30,M,A1
52,52,Unknown,40,M,A1
53,53,Ravi Kumar,18,M,A1
54,54,Unknown,43,M,A1
55,55,Ravi Kumar,23,M,A1
56,56,Prasad Naik,43,M,A1
57,57,Firoz Achar,30,M,A1
58,58,Unknown,24,M,A1
59,59,Unknown,30,M,A1
60,60,Unknown,39,M,A1
61,61,Ramesh Murthy,31,M,A1
62,62,Mahesh Pasha,32,M,A1
63,63,Basavaraj Patil,32,M,A1
64,64,Basavaraj Patil,35,M,A1
65,65,Unknown,23,M,A1
66,66,Basavaraj Patil,38,M,A1
67,67,Unknown,22,M,A1
68,68,Unknown,34,M,A1
69,69,Naveen Hegde,23,M,A1
70,70,Harish Gowda,42,M,A1
71,71,Unknown,41,M,A1
72,72,Basavaraj Pasha,23,M,A1
73,73,Unknown,37,M,A1
74,74,Unknown,37,M,A1
75,75,Harish Setty,29,M,A1
76,76,Shivakumar Nayak,36,M,A1
77,77,Unknown,24,M,A1
78,78,Unknown,28,M,A1
79,79,Unknown,45,M,A1
80,80,Nagaraj Rao,45,M,A1
81,81,Roopa Kumar,42,M,A1
82,82,Naveen Kumar,39,M,A1
83,82,Kiran Patil,26,M,A2
84,83,Shivakumar Hegde,40,M,A1
85,83,Sushma Rao,35,M,A2
86,84,Santosh Patil,43,M,A1
87,85,Umesh Pasha,22,M,A1
88,85,Mahesh Gowda,19,M,A2
89,86,Girish Raju,44,M,A1
90,87,Nagaratna Achar,18,M,A1
91,88,Shivakumar Murthy,18,M,A1
92,89,Ravi Setty,42,M,A1
93,90,Unknown,25,M,A1
94,91,Roopa Setty,39,M,A1
95,92,Ravi Reddy,27,M,A1
96,93,Nagaraj Shetty,19,M,A1
97,93,Kavya Bhat,41,M,A2
98,94,Unknown,20,M,A1
99,95,Ramesh Gowda,42,M,A1
100,96,Unknown,35,M,A1
101,97,Anil Shetty,23,M,A1
102,97,Nagaraj Naik,24,M,A2
103,98,Nagaratna Patil,31,M,A1
104,99,Basavaraj Prasad,27,M,A1
105,100,Girish Prasad,42,M,A1
106,100,Firoz Murthy,24,M,A2
107,101,Unknown,32,M,A1
108,102,Prakash Nayak,38,M,A1
109,103,Unknown,42,M,A1
110,104,Manjunath Reddy,23,M,A1
111,104,Basavaraj Kumar,39,M,A2
112,105,Umesh Achar,22,M,A1
113,105,Prasad Setty,37,M,A2
114,106,Prasad Achar,28,M,A1
115,106,Prakash Achar,30,M,A2
116,107,Girish Gowda,28,M,A1
117,108,Unknown,43,M,A1
118,109,Unknown,24,M,A1
119,110,Lakshmi Shetty,31,M,A1
120,110,Suresh Naik,30,M,A2
121,111,Nagaraj Shetty,29,M,A1
122,112,Unknown,39,M,A1
123,113,Divya Bhat,36,M,A1
124,114,Nagaratna Setty,44,M,A1
125,115,Sushma Patil,40,M,A1
126,116,Prasad Pasha,31,M,A1
127,116,Bhavya Achar,29,M,A2
128,117,Umesh Kumar,36,M,A1
129,118,Unknown,33,M,A1
130,119,Bhavya Kumar,39,M,A1
131,119,Harish Gowda,18,M,A2
132,120,Firoz Naik,42,M,A1
133,120,Sushma Hegde,31,M,A2
134,121,Unknown,41,M,A1
135,122,Unknown,38,M,A1
136,123,Imran Bhat,33,M,A1
137,124,Shivakumar Kumar,21,M,A1
138,124,Geetha Shetty,33,M,A2
139,125,Ravi Pasha,23,M,A1
140,125,Ravi Gowda,20,M,A2
141,126,Prakash Setty,45,M,A1
142,127,Nagaraj Shetty,20,M,A1
143,128,Kiran Reddy,40,M,A1
144,129,Unknown,36,M,A1
145,130,Shivakumar Rao,45,M,A1
146,131,Ramesh Kumar,38,M,A1
147,132,Manjunath Naik,30,M,A1
148,133,Lokesh Nayak,43,M,A1
149,133,Santosh Rao,27,M,A2
150,134,Unknown,29,M,A1
151,135,Anil Patil,28,M,A1
152,135,Ramesh Naik,19,M,A2
153,136,Harish Naik,24,M,A1
154,137,Harish Pasha,33,M,A1
155,137,Santosh Bhat,35,M,A2
156,138,Lakshmi Rao,28,M,A1
157,139,Nagaraj Prasad,24,M,A1
158,139,Naveen Shetty,22,M,A2
159,140,Unknown,20,M,A1
160,141,Divya Setty,34,M,A1
161,141,Prasad Patil,36,M,A2
162,142,Savitha Pasha,42,M,A1
163,143,Anil Raju,40,M,A1
164,144,Vinay Rao,44,M,A1
165,144,Prakash Reddy,20,M,A2
166,145,Unknown,23,M,A1
167,146,Roopa Gowda,21,M,A1
168,146,Divya Raju,31,M,A2
169,147,Unknown,21,M,A1
170,148,Firoz Achar,26,M,A1
171,148,Basavaraj Raju,37,M,A2
172,149,Manjunath Murthy,45,M,A1
173,150,Suresh Naik,45,M,A1
174,150,Umesh Bhat,20,M,A2
175,151,Lokesh Reddy,40,M,A1
176,151,Harish Setty,21,M,A2
177,152,Unknown,44,M,A1
178,153,Anil Murthy,38,M,A1
179,154,Naveen Reddy,30,M,A1
180,155,Ravi Bhat,25,M,A1
181,155,Vinay Nayak,29,M,A2
182,156,Naveen Pasha,28,M,A1
183,157,Naveen Reddy,33,M,A1
184,158,Nagaraj Shetty,28,M,A1
185,159,Roopa Raju,20,M,A1
186,160,Unknown,31,M,A1
187,161,Prasad Shetty,34,M,A1
188,162,Unknown,20,M,A1
189,163,Nagaraj Rao,38,M,A1
190,164,Nagaraj Bhat,19,M,A1
191,165,Unknown,34,M,A1
192,166,Arun Reddy,29,M,A1
193,166,Ramesh Hegde,39,M,A2
194,167,Unknown,23,M,A1
195,168,Prasad Prasad,43,M,A1
196,169,Unknown,26,M,A1
197,170,Prasad Shetty,41,M,A1
198,171,Shivakumar Shetty,22,M,A1
199,172,Suresh Kumar,37,M,A1
200,172,Divya Shetty,45,M,A2
201,173,Rekha Nayak,44,M,A1
202,173,Anil Pasha,41,M,A2
203,174,Prasad Murthy,42,M,A1
204,175,Unknown,27,M,A1
205,176,Harish Prasad,31,M,A1
206,176,Nagaraj Gowda,38,M,A2
207,177,Unknown,26,M,A1
208,178,Shivakumar Achar,37,M,A1
209,178,Kiran Gowda,33,M,A2
210,179,Bhavya Setty,43,M,A1
211,179,Manjunath Bhat,40,M,A2
212,180,Basavaraj Reddy,26,M,A1
213,180,Basavaraj Prasad,21,M,A2
214,181,Unknown,43,M,A1
215,182,Anil Raju,21,M,A1
216,183,Unknown,41,M,A1
217,184,Unknown,24,M,A1
218,185,Ravi Setty,18,M,A1
219,185,Manjunath Setty,35,M,A2
220,186,Unknown,29,M,A1
