ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Rekha Setty,31,1,4,2,F
2,2,Savitha Rao,55,4,2,1,F
3,3,Bhavya Rao,29,4,2,3,F
4,4,Roopa Gowda,42,2,4,3,F
5,5,Lakshmi Shetty,48,3,4,4,F
6,6,Nagaratna Naik,51,2,1,2,F
7,7,Bhavya Shetty,35,2,3,3,F
8,8,Basavaraj Achar,53,3,2,3,M
9,9,Prasad Gowda,50,6,3,2,M
10,10,Basavaraj Raju,44,2,2,3,M
11,11,Santosh Kumar,38,2,1,2,M
12,12,Prasad Naik,45,5,1,4,M
13,13,Ramesh Raju,42,3,2,1,M
14,14,Ravi Setty,32,4,3,3,M
15,15,Arun Patil,34,7,4,1,M
16,16,Mahesh Raju,29,6,3,4,M
17,17,Manjunath Kumar,36,5,1,2,M
18,18,Ravi Reddy,25,4,2,2,M
19,19,Anil Pasha,27,1,4,4,M
20,20,Imran Patil,26,1,4,3,M
21,21,Prakash Patil,40,4,3,1,M
22,22,Ravi Achar,30,4,2,3,M
23,23,Kiran Kumar,40,7,4,3,M
24,24,Umesh Patil,35,2,4,2,M
25,25,Shivakumar Prasad,30,3,4,4,M
26,26,Anil Kumar,32,2,1,3,M
27,27,Suresh Raju,39,8,2,1,M
28,28,Naveen Setty,42,7,3,2,M
29,29,Prasad Prasad,57,8,2,4,M
30,30,Mahesh Naik,66,2,4,4,M
31,31,Basavaraj Hegde,67,7,4,4,M
32,32,Santosh Hegde,40,8,1,2,M
33,33,Savitha Murthy,50,4,1,2,F
34,34,Bhavya Naik,47,5,1,4,F
35,35,Roopa Bhat,25,5,4,4,F
36,36,Deepa Hegde,46,5,3,2,F
37,37,Kavya Pasha,37,6,3,2,F
38,38,Sushma Reddy,43,2,4,2,F
39,39,Lakshmi Nayak,40,5,2,2,F
40,40,Shwetha Murthy,60,1,1,2,F
41,41,Shwetha Murthy,40,3,4,1,F
42,42,Kavya Shetty,49,1,1,1,F
43,43,Nagaratna Shetty,38,2,3,1,F
44,44,Geetha Pasha,30,3,1,1,F
45,45,Umesh Hegde,35,2,3,3,M
46,46,Lokesh Nayak,38,3,4,3,M
47,47,Basavaraj Patil,41,8,3,4,M
48,48,Anil Patil,42,2,4,4,M
49,49,Mahesh Setty,45,1,2,4,M
50,50,Kiran Prasad,26,2,3,2,M
51,51,Prasad Kumar,45,3,2,1,M
52,52,Basavaraj Bhat,53,6,2,2,M
53,53,Firoz Bhat,46,7,1,1,M
54,54,Ramesh Nayak,34,2,2,4,M
55,55,Lokesh Murthy,54,4,3,4,M
56,56,Nagaraj Setty,59,2,3,2,M
57,57,Prakash Setty,50,8,2,2,M
58,58,Mahesh Naik,63,2,2,1,M
59,59,Lokesh Patil,40,5,4,4,M
60,60,Umesh Naik,38,5,4,4,M
61,61,Lokesh Raju,38,2,3,2,M
62,62,Kavya Patil,40,2,3,1,F
63,63,Rekha Setty,52,3,3,4,F
64,64,Deepa Gowda,53,7,2,1,F
65,65,Vidya Gowda,32,4,2,2,F
66,66,Nagaratna Pasha,51,8,1,1,F
67,67,Deepa Setty,46,8,4,1,F
68,68,Ravi Patil,43,1,2,2,M
69,69,Nagaraj Kumar,39,4,4,2,M
70,70,Harish Shetty,30,2,4,2,M
71,71,Manjunath Bhat,33,7,3,2,M
72,72,Girish Prasad,45,6,3,4,M
73,73,Naveen Raju,37,1,1,2,M
74,74,Shivakumar Gowda,25,4,3,2,M
75,75,Prasad Gowda,32,2,1,3,M
76,76,Shivakumar Raju,36,8,2,3,M
77,77,Anil Achar,27,2,2,4,M
78,78,Manjunath Pasha,24,1,1,4,M
79,79,Lakshmi Murthy,38,7,1,3,F
80,80,Arun Rao,53,3,4,1,M
81,81,Divya Gowda,53,7,1,3,F
82,82,Girish Raju,38,5,4,3,M
83,83,Vidya Kumar,58,1,1,3,F
84,84,Bhavya Pasha,36,8,3,1,F
85,85,Savitha Rao,44,5,1,4,F
86,86,Lakshmi Hegde,23,7,1,4,F
87,87,Arun Setty,34,1,2,1,M
88,88,Kiran Pasha,62,4,3,3,M
89,89,Harish Setty,46,8,1,4,M
90,90,Prakash Reddy,24,7,4,3,M
91,91,Arun Murthy,24,4,2,4,M
92,92,Anil Hegde,54,6,4,4,M
93,93,Lokesh Raju,34,4,1,3,M
94,94,Anitha Prasad,46,5,4,2,F
95,95,Geetha Prasad,38,7,3,3,F
96,96,Rekha Nayak,62,8,1,3,F
97,97,Firoz Setty,42,2,1,3,M
98,98,Anitha Rao,70,6,4,2,F
99,99,Savitha Achar,22,3,1,3,F
100,100,Kiran Kumar,42,4,2,1,M
101,101,Anitha Raju,47,1,4,1,F
102,102,Shivakumar Naik,29,5,3,2,M
103,103,Rekha Kumar,37,2,2,2,F
104,104,Imran Setty,29,1,2,1,M
105,105,Roopa Reddy,51,2,1,4,F
106,106,Lakshmi Murthy,40,5,3,1,F
107,107,Vidya Gowda,54,4,3,3,F
108,108,Shwetha Reddy,29,4,1,4,F
109,109,Vidya Bhat,47,1,3,2,F
110,110,Harish Nayak,22,1,2,1,M
111,111,Bhavya Achar,41,6,4,4,F
112,112,Anitha Prasad,42,7,3,2,F
113,113,Harish Bhat,60,7,4,2,M
114,114,Vidya Murthy,43,3,4,2,F
115,115,Nagaratna Setty,50,4,2,4,F
116,116,Firoz Bhat,48,1,3,1,M
117,117,Kiran Hegde,68,5,3,1,M
118,118,Imran Hegde,54,2,1,2,M
119,119,Rekha Raju,35,8,2,2,F
120,120,Firoz Kumar,56,2,2,3,M
121,121,Sushma Hegde,31,2,1,1,F
122,122,Prakash Setty,18,6,3,4,M
123,123,Ravi Patil,26,8,4,1,M
124,124,Bhavya Rao,57,1,2,1,F
125,125,Shivakumar Patil,62,1,2,1,M
126,126,Basavaraj Gowda,58,4,2,1,M
127,127,Lakshmi Shetty,34,1,2,2,F
128,128,Savitha Nayak,29,4,3,3,F
129,129,Bhavya Patil,35,4,3,4,F
130,130,Nagaraj Bhat,59,3,4,1,M
131,131,Suresh Shetty,50,7,3,4,M
132,132,Sushma Bhat,46,8,3,1,F
133,133,Deepa Patil,30,6,4,3,F
134,134,Rekha Setty,54,3,2,1,F
135,135,Bhavya Pasha,39,1,2,1,F
136,136,Lakshmi Bhat,41,6,3,3,F
137,137,Savitha Nayak,58,3,2,2,F
138,138,Bhavya Shetty,34,6,1,3,F
139,139,Geetha Setty,61,3,1,2,F
140,140,Kiran Rao,65,4,3,2,M
141,141,Naveen Setty,56,1,1,2,M
142,142,Nagaratna Shetty,45,6,1,4,F
143,143,Firoz Shetty,18,7,4,1,M
144,144,Savitha Nayak,49,2,1,3,F
145,145,Shivakumar Achar,45,7,4,4,M
146,146,Lakshmi Gowda,67,1,2,3,F
147,147,Roopa Gowda,35,6,4,4,F
148,148,Nagaratna Murthy,35,6,1,3,F
149,149,Savitha Bhat,47,7,4,3,F
150,150,Ravi Hegde,28,5,2,1,M
151,151,Prakash Kumar,45,4,3,4,M
152,152,Anil Gowda,52,7,3,3,M
153,153,Shivakumar Gowda,40,1,2,4,M
154,154,Ravi Gowda,43,4,1,4,M
155,155,Deepa Bhat,31,4,4,2,F
156,156,Santosh Raju,34,6,2,1,M
157,157,Vidya Nayak,65,1,2,2,F
158,158,Lokesh Murthy,28,1,2,4,M
159,159,Anitha Reddy,64,5,3,1,F
160,160,Sushma Raju,50,8,3,4,F
161,161,Deepa Patil,27,7,3,1,F
