EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
1000,572,1,4,1,KG001000,Firoz,1978-11-14,M,2,0,2016-07-14
1001,572,1,2,4,KG001001,Kiran,1987-12-11,M,7,0,2008-04-07
1002,572,1,7,1,KG001002,Suresh,1983-08-08,M,1,0,2007-08-26
1003,572,2,4,1,KG001003,Naveen,1980-07-16,M,7,0,2020-04-28
1004,572,2,6,4,KG001004,Kiran,1987-05-26,M,4,0,2019-05-14
1005,572,2,1,1,KG001005,Lokesh,1981-01-19,M,8,0,2006-12-11
1006,572,3,5,1,KG001006,Kavya,1980-01-17,F,4,0,2007-03-03
1007,572,3,4,3,KG001007,Girish,1978-10-08,M,4,0,2006-10-03
1008,572,3,6,3,KG001008,Sushma,1997-06-08,F,6,0,2013-07-05
1009,572,3,2,3,KG001009,Kiran,1975-08-20,M,6,0,2008-02-18
1010,572,3,5,3,KG001010,Umesh,1982-06-10,M,1,0,2010-08-27
1011,583,4,1,2,KG001011,Rekha,1984-11-04,F,5,0,2009-05-04
1012,583,4,7,3,KG001012,Vidya,1981-12-11,F,8,0,2011-11-21
1013,583,4,1,3,KG001013,Kiran,1976-02-21,M,5,0,2018-05-02
1014,583,4,1,1,KG001014,Kiran,1998-08-18,M,1,0,2018-09-01
1015,583,4,3,3,KG001015,Suresh,1993-09-05,M,6,0,2018-03-02
1016,583,5,4,2,KG001016,Anitha,1982-11-04,F,3,0,2016-09-28
1017,583,5,6,2,KG001017,Girish,1988-01-06,M,3,0,2015-07-26
1018,583,5,2,4,KG001018,Divya,1978-07-28,F,5,0,2006-08-08
1019,583,6,7,1,KG001019,Girish,1975-11-07,M,6,0,2017-06-09
1020,583,6,3,2,KG001020,Roopa,1991-07-22,F,5,0,2015-01-04
1021,583,6,3,4,KG001021,Umesh,1978-10-14,M,2,0,2016-12-26
1022,584,7,7,2,KG001022,Divya,1981-05-02,F,7,0,2018-01-17
1023,584,7,1,3,KG001023,Prasad,1996-06-20,M,5,0,2015-11-28
