VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Roopa Shetty,31,F,0
2,2,Bhavya Prasad,55,F,0
3,3,Rekha Rao,29,F,0
4,4,Sushma Achar,42,F,0
5,5,Shwetha Nayak,48,F,0
6,6,Bhavya Patil,51,F,0
7,7,Nagaratna Naik,35,F,0
8,8,Anil Setty,53,M,0
9,9,Imran Naik,50,M,0
10,10,Imran Prasad,44,M,0
11,11,Shivakumar Reddy,38,M,0
12,12,Basavaraj Hegde,45,M,0
13,13,Suresh Pasha,42,M,0
14,14,Manjunath Nayak,32,M,0
15,15,Santosh Shetty,34,M,0
16,16,Santosh Hegde,29,M,0
17,17,Girish Shetty,36,M,0
18,18,Kiran Shetty,25,M,0
19,19,Lokesh Prasad,27,M,0
20,20,Basavaraj Murthy,26,M,0
21,21,Vinay Kumar,40,M,0
22,22,Prasad Pasha,30,M,0
23,23,Santosh Achar,40,M,0
24,24,Umesh Achar,35,M,0
25,25,Suresh Raju,30,M,0
26,26,Mahesh Kumar,32,M,0
27,27,Vinay Shetty,39,M,0
28,28,Imran Raju,42,M,0
29,29,Suresh Raju,57,M,0
30,30,Umesh Hegde,66,M,0
31,31,Harish Setty,67,M,0
32,32,Mahesh Bhat,40,M,0
33,33,Savitha Gowda,50,F,0
34,34,Savitha Hegde,47,F,0
35,35,Anitha Hegde,25,F,0
36,36,Rekha Achar,46,F,0
37,37,Divya Patil,37,F,0
38,38,Sushma Shetty,43,F,0
39,39,Kavya Reddy,40,F,0
40,40,Lakshmi Achar,60,F,0
41,41,Sushma Setty,40,F,0
42,42,Lakshmi Reddy,49,F,0
43,43,Roopa Rao,38,F,0
44,44,Lakshmi Naik,30,F,0
45,45,Ramesh Nayak,35,M,0
46,46,Lokesh Pasha,38,M,0
47,47,Prasad Shetty,41,M,0
48,48,Imran Raju,42,M,0
49,49,Firoz Nayak,45,M,0
50,50,Naveen Pasha,26,M,0
51,51,Basavaraj Pasha,45,M,0
52,52,Kiran Rao,53,M,0
53,53,Lokesh Prasad,46,M,0
54,54,Harish Reddy,34,M,0
55,55,Vinay Setty,54,M,0
56,56,Imran Bhat,59,M,0
57,57,Harish Gowda,50,M,0
58,58,Imran Murthy,63,M,0
59,59,Girish Naik,40,M,0
60,60,Santosh Bhat,38,M,0
61,61,Suresh Gowda,38,M,0
62,62,Divya Rao,40,F,0
63,63,Bhavya Prasad,52,F,0
64,64,Geetha Gowda,53,F,0
65,65,Nagaratna Setty,32,F,0
66,66,Anitha Setty,51,F,0
67,67,Nagaratna Setty,46,F,0
68,68,Naveen Prasad,43,M,0
69,69,Umesh Pasha,39,M,0
70,70,Nagaraj Reddy,30,M,0
71,71,Nagaraj Patil,33,M,0
72,72,Lokesh Hegde,45,M,0
73,73,Umesh Reddy,37,M,0
74,74,Imran Pasha,25,M,0
75,75,Lokesh Murthy,32,M,0
76,76,Girish Hegde,36,M,0
77,77,Santosh Naik,27,M,0
78,78,Prakash Shetty,24,M,0
79,79,Bhavya Gowda,38,F,0
80,80,Basavaraj Raju,53,M,0
81,81,Vidya Hegde,53,F,0
82,82,Mahesh Bhat,38,M,0
83,83,Savitha Rao,58,F,0
84,84,Sushma Gowda,36,F,0
85,85,Anitha Naik,44,F,0
86,86,Deepa Rao,23,F,0
87,87,Nagaraj Bhat,34,M,0
88,88,Harish Shetty,62,M,0
89,89,Santosh Hegde,46,M,0
90,90,Nagaraj Murthy,24,M,0
91,91,Vinay Raju,24,M,0
92,92,Harish Murthy,54,M,0
93,93,Santosh Naik,34,M,0
94,94,Shwetha Naik,46,F,0
95,95,Kavya Naik,38,F,0
96,96,Shwetha Shetty,62,F,0
97,97,Firoz Hegde,42,M,0
98,98,Lakshmi Hegde,70,F,0
99,99,Vidya Shetty,22,F,0
100,100,Nagaraj Pasha,42,M,0
101,101,Deepa Reddy,47,F,0
102,102,Shivakumar Murthy,29,M,0
103,103,Rekha Nayak,37,F,0
104,104,Kiran Reddy,29,M,0
105,105,Anitha Murthy,51,F,0
106,106,Vidya Murthy,40,F,0
107,107,Bhavya Achar,54,F,0
108,108,Geetha Setty,29,F,0
109,109,Lakshmi Shetty,47,F,0
110,110,Santosh Achar,22,M,0
111,111,Nagaratna Kumar,41,F,0
112,112,Geetha Achar,42,F,0
113,113,Kiran Nayak,60,M,0
114,114,Nagaratna Prasad,43,F,0
115,115,Nagaratna Nayak,50,F,0
116,116,Imran Naik,48,M,0
